  code      ,rgb             ,hex    ,name                  
  18-4245 TN,"rgb(0,99,178)   ",#0063B2,Electric Blue Lemonade
  17-4436 TN,"rgb(0,137,185)  ",#0089B9,Atomic Blue           
  16-6230 TN,"rgb(0,199,86)   ",#00C756,Andean Toucan         
  14-4530 TN,"rgb(77,198,226) ",#4DC6E2,Bluefish              
  18-3940 TN,"rgb(96,80,168)  ",#6050A8,Simply Purple         
  13-0340 TN,"rgb(105,255,71) ",#69FF47,Green Gecko           
  18-3640 TN,"rgb(105,68,142) ",#69448E,Electric Purple       
  16-3828 TN,"rgb(136,112,185)",#8870B9,Purple Hebe           
  18-3250 TN,"rgb(157,54,149) ",#9D3695,Purple Cactus Flower  
  17-2435 TN,"rgb(250,0,138)  ",#FA008A,Pink Glo              
  16-2130 TN,"rgb(255,62,165) ",#FF3EA5,Knockout Pink         
  13-0630 TN,"rgb(237,255,0)  ",#EDFF00,Safety Yellow         
  18-1757 TN,"rgb(212,41,94)  ",#D4295E,Sparkling Cosmo       
  16-2125 TN,"rgb(255,103,179)",#FF67B3,Sugar Plum            
  12-0645 TN,"rgb(252,249,81) ",#FCF951,Lemon Tonic           
  16-1650 TN,"rgb(255,22,89)  ",#FF1659,Diva Pink             
  15-1456 TN,"rgb(255,79,88)  ",#FF4F58,Fiery Coral           
  15-1460 TN,"rgb(255,111,29) ",#FF6F1D,Orange Clown Fish     
  15-1360 TN,"rgb(255,109,43) ",#FF6D2B,Shocking Orange       
  13-2120 TN,"rgb(255,169,214)",#FFA9D6,Cotton Candy          
  13-1145 TN,"rgb(255,186,82) ",#FFBA52,Orange Pop            