  code       ,rgb             ,hex    ,name             
  19-4049 TPX,"rgb(0,77,140)   ",#004D8C,Snorkel Blue     
  19-4050 TPX,"rgb(22,77,143)  ",#164D8F,Nautical Blue    
  18-3949 TPX,"rgb(46,77,167)  ",#2E4DA7,Dazzling Blue    
  19-4044 TPX,"rgb(44,69,120)  ",#2C4578,Limoges          
  19-4245 TPX,"rgb(0,89,154)   ",#00599A,Imperial Blue    
  19-5414 TPX,"rgb(28,71,70)   ",#1C4746,June Bug         
  18-4535 TPX,"rgb(0,130,181)  ",#0082B5,Blue Jewel       
  19-4914 TPX,"rgb(23,73,80)   ",#174950,Deep Teal        
  19-6311 TPX,"rgb(44,76,50)   ",#2C4C32,Greener Pastures 
  19-4922 TPX,"rgb(0,100,101)  ",#006465,Teal Green       
  18-5619 TPX,"rgb(0,107,100)  ",#006B64,Tidepool         
  17-4433 TPX,"rgb(0,138,194)  ",#008AC2,Dresden Blue     
  19-4329 TPX,"rgb(17,90,111)  ",#115A6F,Corsair          
  17-4540 TPX,"rgb(0,149,198)  ",#0095C6,Hawaiian Ocean   
  18-4726 TPX,"rgb(0,119,132)  ",#007784,Biscay Bay       
  17-6030 TPX,"rgb(0,135,79)   ",#00874F,Jelly Bean       
  16-5932 TPX,"rgb(0,161,118)  ",#00A176,Holly Green      
  16-5421 TPX,"rgb(0,160,134)  ",#00A086,Sea Green        
  16-4529 TPX,"rgb(0,166,203)  ",#00A6CB,Cyan Blue        
  16-6138 TPX,"rgb(25,157,92)  ",#199D5C,Kelly Green      
  16-6240 TPX,"rgb(31,181,102) ",#1FB566,Island Green     
  16-5825 TPX,"rgb(51,173,138) ",#33AD8A,Gumdrop Green    
  15-4825 TPX,"rgb(42,189,199) ",#2ABDC7,Blue Curacao     
  15-4720 TPX,"rgb(59,179,208) ",#3BB3D0,River Blue       
  14-5721 TPX,"rgb(51,195,166) ",#33C3A6,Electric Green   
  19-3921 TPX,"rgb(38,49,69)   ",#263145,Black Iris       
  19-4024 TPX,"rgb(39,51,71)   ",#273347,Dress Blues      
  18-5725 TPX,"rgb(23,96,84)   ",#176054,Galapagos Green  
  17-4139 TPX,"rgb(69,138,198) ",#458AC6,Azure Blue       
  16-5123 TPX,"rgb(26,154,157) ",#1A9A9D,Baltic           
  16-4427 TPX,"rgb(40,163,196) ",#28A3C4,Horizon Blue     
  14-4522 TPX,"rgb(67,188,216) ",#43BCD8,Bachelor Button  
  16-6339 TPX,"rgb(85,170,89)  ",#55AA59,Vibrant Green    
  15-5516 TPX,"rgb(65,180,166) ",#41B4A6,Waterfall        
  18-3840 TPX,"rgb(100,89,162) ",#6459A2,Purple Opulence  
  19-3810 TPX,"rgb(45,46,73)   ",#2D2E49,Eclipse          
  19-3830 TPX,"rgb(45,44,77)   ",#2D2C4D,Astral Aura      
  19-4305 TPX,"rgb(47,52,53)   ",#2F3435,Pirate Black     
  19-5917 TPX,"rgb(42,66,57)   ",#2A4239,Sycamore         
  19-0417 TPX,"rgb(53,66,48)   ",#354230,Kombu Green      
  19-5408 TPX,"rgb(44,80,74)   ",#2C504A,Bistro Green     
  19-4826 TPX,"rgb(38,95,108)  ",#265F6C,Dragonfly        
  19-5413 TPX,"rgb(45,92,90)   ",#2D5C5A,Jasper           
  19-4127 TPX,"rgb(49,93,120)  ",#315D78,Midnight         
  17-5117 TPX,"rgb(49,130,132) ",#318284,Green-Blue Slate 
  15-5718 TPX,"rgb(71,198,163) ",#47C6A3,Biscay Green     
  15-5416 TPX,"rgb(72,193,170) ",#48C1AA,Florida Keys     
  19-1101 TPX,"rgb(53,48,48)   ",#353030,After Dark       
  19-1102 TPX,"rgb(52,49,50)   ",#343132,Licorice         
  19-4205 TPX,"rgb(52,55,59)   ",#34373B,Phantom          
  18-5913 TPX,"rgb(51,78,69)   ",#334E45,Garden Topiary   
  17-4037 TPX,"rgb(90,124,194) ",#5A7CC2,Ultramarine      
  19-0915 TPX,"rgb(60,50,48)   ",#3C3230,Coffee Bean      
  18-4029 TPX,"rgb(55,93,138)  ",#375D8A,Federal Blue     
  19-4039 TPX,"rgb(58,91,141)  ",#3A5B8D,Delft            
  18-6018 TPX,"rgb(59,113,91)  ",#3B715B,Foliage Green    
  17-4421 TPX,"rgb(53,123,145) ",#357B91,Larkspur         
  14-5416 TPX,"rgb(86,203,179) ",#56CBB3,Bermuda          
  14-5420 TPX,"rgb(90,208,186) ",#5AD0BA,Cockatoo         
  19-0000 TPX,"rgb(53,54,53)   ",#353635,Raven            
  19-3617 TPX,"rgb(61,50,73)   ",#3D3249,Mysterioso       
  19-3720 TPX,"rgb(63,49,79)   ",#3F314F,Gothic Grape     
  19-0614 TPX,"rgb(65,56,46)   ",#41382E,Wren             
  19-0414 TPX,"rgb(66,69,59)   ",#42453B,Forest Night     
  19-4019 TPX,"rgb(60,67,78)   ",#3C434E,India Ink        
  19-0912 TPX,"rgb(68,55,49)   ",#443731,Chocolate Brown  
  18-4026 TPX,"rgb(57,94,122)  ",#395E7A,Stellar          
  18-3921 TPX,"rgb(65,89,126)  ",#41597E,Bijou Blue       
  18-4417 TPX,"rgb(61,100,114) ",#3D6472,Tapestry         
  17-4131 TPX,"rgb(61,129,172) ",#3D81AC,Cendre Blue      
  18-6320 TPX,"rgb(67,111,77)  ",#436F4D,Fairway          
  17-4716 TPX,"rgb(68,123,140) ",#447B8C,Storm Blue       
  17-4919 TPX,"rgb(65,134,137) ",#418689,Teal             
  16-6127 TPX,"rgb(64,156,106) ",#409C6A,Greenbriar       
  16-5721 TPX,"rgb(61,159,136) ",#3D9F88,Marine Green     
  16-4134 TPX,"rgb(82,163,214) ",#52A3D6,Bonnie Blue      
  15-0146 TPX,"rgb(113,204,81) ",#71CC51,Green Flash      
  16-6030 TPX,"rgb(100,186,146)",#64BA92,Katydid          
  15-5819 TPX,"rgb(97,194,162) ",#61C2A2,Spearmint        
  19-1314 TPX,"rgb(65,52,51)   ",#413433,Seal Brown       
  19-0814 TPX,"rgb(71,58,47)   ",#473A2F,Slate Black      
  19-0506 TPX,"rgb(60,62,56)   ",#3C3E38,Black Ink        
  19-0608 TPX,"rgb(65,61,56)   ",#413D38,Black Olive      
  19-0812 TPX,"rgb(64,57,53)   ",#403935,Turkish Coffee   
  19-3712 TPX,"rgb(63,57,73)   ",#3F3949,Nightshade       
  19-3908 TPX,"rgb(63,62,71)   ",#3F3E47,Nine Iron        
  19-4104 TPX,"rgb(61,66,73)   ",#3D4249,Ebony            
  19-3716 TPX,"rgb(72,61,88)   ",#483D58,Purple Plumeria  
  19-3915 TPX,"rgb(65,66,86)   ",#414256,Graystone        
  19-0405 TPX,"rgb(66,65,62)   ",#42413E,Beluga           
  18-4036 TPX,"rgb(78,129,173) ",#4E81AD,Parisian Blue    
  17-5513 TPX,"rgb(73,125,118) ",#497D76,Deep Sea         
  16-5119 TPX,"rgb(76,156,149) ",#4C9C95,Sea Blue         
  16-4525 TPX,"rgb(78,164,186) ",#4EA4BA,Maui Blue        
  14-5718 TPX,"rgb(110,209,180)",#6ED1B4,Opal             
  15-5218 TPX,"rgb(108,192,186)",#6CC0BA,Pool Blue        
  19-3217 TPX,"rgb(76,45,76)   ",#4C2D4C,Shadow Purple    
  19-3748 TPX,"rgb(88,69,135)  ",#584587,Prism Violet     
  19-3903 TPX,"rgb(67,61,66)   ",#433D42,Shale            
  19-3906 TPX,"rgb(70,75,78)   ",#464B4E,Dark Shadow      
  18-3944 TPX,"rgb(88,96,162)  ",#5860A2,Violet Storm     
  19-0618 TPX,"rgb(84,75,50)   ",#544B32,Beech            
  16-4032 TPX,"rgb(99,140,199) ",#638CC7,Provence         
  19-0309 TPX,"rgb(81,90,78)   ",#515A4E,Thyme            
  18-3920 TPX,"rgb(77,93,131)  ",#4D5D83,Coastal Fjord    
  18-3932 TPX,"rgb(80,92,132)  ",#505C84,Marlin           
  18-5112 TPX,"rgb(74,107,108) ",#4A6B6C,Sea Pine         
  18-0119 TPX,"rgb(82,112,63)  ",#52703F,Willow Bough     
  18-6114 TPX,"rgb(79,109,90)  ",#4F6D5A,Myrtle           
  18-3937 TPX,"rgb(80,114,167) ",#5072A7,Blue Yonder      
  17-6219 TPX,"rgb(82,133,103) ",#528567,Deep Grass Green 
  18-5622 TPX,"rgb(80,129,109) ",#50816D,Frosty Spruce    
  17-4818 TPX,"rgb(78,144,147) ",#4E9093,Bristol Blue     
  17-4123 TPX,"rgb(87,140,169) ",#578CA9,Niagara          
  16-4719 TPX,"rgb(84,155,162) ",#549BA2,Porcelain        
  16-5121 TPX,"rgb(84,155,160) ",#549BA0,Meadowbrook      
  16-4421 TPX,"rgb(88,175,201) ",#58AFC9,Blue Mist        
  15-4323 TPX,"rgb(93,171,213) ",#5DABD5,Ethereal Blue    
  14-6329 TPX,"rgb(115,184,129)",#73B881,Absinthe Green   
  19-1518 TPX,"rgb(79,58,60)   ",#4F3A3C,Puce             
  19-1213 TPX,"rgb(82,63,59)   ",#523F3B,Shopping Bag     
  18-3615 TPX,"rgb(89,69,119)  ",#594577,Imperial Palace  
  19-1020 TPX,"rgb(87,67,51)   ",#574333,Dark Earth       
  19-1118 TPX,"rgb(85,67,60)   ",#55433C,Chestnut         
  18-3935 TPX,"rgb(101,123,184)",#657BB8,Wedgewood        
  19-0822 TPX,"rgb(82,77,64)   ",#524D40,Tarmac           
  17-3932 TPX,"rgb(122,131,191)",#7A83BF,Deep Periwinkle  
  17-3936 TPX,"rgb(99,134,191) ",#6386BF,Blue Bonnet      
  19-0512 TPX,"rgb(88,87,72)   ",#585748,Ivy Green        
  18-0108 TPX,"rgb(86,107,67)  ",#566B43,Dill             
  18-5611 TPX,"rgb(83,101,94)  ",#53655E,Dark Forest      
  18-5612 TPX,"rgb(81,116,112) ",#517470,Sagebrush Green  
  18-4215 TPX,"rgb(88,110,125) ",#586E7D,Blue Mirage      
  18-3922 TPX,"rgb(83,113,143) ",#53718F,Coronet Blue     
  17-4027 TPX,"rgb(86,119,166) ",#5677A6,Riviera          
  17-4023 TPX,"rgb(87,124,151) ",#577C97,Blue Heaven      
  17-4320 TPX,"rgb(95,141,159) ",#5F8D9F,Adriatic Blue    
  16-4519 TPX,"rgb(96,157,179) ",#609DB3,Delphinium Blue  
  15-4717 TPX,"rgb(99,162,176) ",#63A2B0,Aqua             
  16-4132 TPX,"rgb(108,160,220)",#6CA0DC,Little Boy Blue  
  17-0133 TPX,"rgb(99,142,78)  ",#638E4E,Fluorite Green   
  15-6442 TPX,"rgb(123,182,97) ",#7BB661,Bud Green        
  15-6437 TPX,"rgb(123,182,101)",#7BB665,Grass Green      
  15-0341 TPX,"rgb(143,179,76) ",#8FB34C,Parrot Green     
  14-6017 TPX,"rgb(129,190,161)",#81BEA1,Neptune Green    
  14-5714 TPX,"rgb(125,207,182)",#7DCFB6,Beveled Glass    
  13-5414 TPX,"rgb(126,217,195)",#7ED9C3,Ice Green        
  19-1420 TPX,"rgb(84,59,57)   ",#543B39,Deep Mahogany    
  19-1116 TPX,"rgb(86,66,53)   ",#564235,Carafe           
  19-1620 TPX,"rgb(89,66,73)   ",#594249,Huckleberry      
  19-2014 TPX,"rgb(96,62,79)   ",#603E4F,Prune            
  19-1121 TPX,"rgb(94,71,60)   ",#5E473C,Pinecone         
  18-3410 TPX,"rgb(91,72,92)   ",#5B485C,Vintage Violet   
  18-3714 TPX,"rgb(92,81,109)  ",#5C516D,Mulled Grape     
  18-0627 TPX,"rgb(101,86,42)  ",#65562A,Fir Green        
  19-0820 TPX,"rgb(92,82,68)   ",#5C5244,Canteen          
  19-3905 TPX,"rgb(88,83,88)   ",#585358,Rabbit           
  18-0403 TPX,"rgb(93,90,89)   ",#5D5A59,Dark Gull Gray   
  19-3803 TPX,"rgb(92,89,91)   ",#5C595B,Plum Kitten      
  18-0201 TPX,"rgb(89,94,98)   ",#595E62,Castlerock       
  18-0420 TPX,"rgb(92,99,79)   ",#5C634F,Four Leaf Clover 
  18-5203 TPX,"rgb(96,98,99)   ",#606263,Pewter           
  18-3910 TPX,"rgb(92,100,118) ",#5C6476,Folkstone Gray   
  18-3828 TPX,"rgb(101,99,152) ",#656398,Corsican Blue    
  18-3833 TPX,"rgb(99,101,158) ",#63659E,Dusted Peri      
  18-0117 TPX,"rgb(88,113,77)  ",#58714D,Vineyard Green   
  17-6009 TPX,"rgb(92,109,97)  ",#5C6D61,Laurel Wreath    
  18-4011 TPX,"rgb(91,111,116) ",#5B6F74,Goblin Blue      
  18-5105 TPX,"rgb(101,109,109)",#656D6D,Sedona Sage      
  17-3923 TPX,"rgb(97,118,157) ",#61769D,Colony Blue      
  17-0230 TPX,"rgb(102,141,78) ",#668D4E,Forest Green     
  17-4911 TPX,"rgb(99,136,142) ",#63888E,Arctic           
  16-0233 TPX,"rgb(109,150,84) ",#6D9654,Meadow Green     
  17-0123 TPX,"rgb(100,146,102)",#649266,Stone Green      
  16-5917 TPX,"rgb(103,152,132)",#679884,Malachite Green  
  17-3628 TPX,"rgb(145,100,171)",#9164AB,Amethyst Orchid  
  19-1726 TPX,"rgb(106,50,63)  ",#6A323F,Cordovan         
  19-2311 TPX,"rgb(95,67,79)   ",#5F434F,Eggplant         
  19-2410 TPX,"rgb(107,52,83)  ",#6B3453,Amaranth         
  19-1235 TPX,"rgb(96,65,58)   ",#60413A,Brunette         
  18-1027 TPX,"rgb(102,77,59)  ",#664D3B,Bison            
  18-0820 TPX,"rgb(103,94,69)  ",#675E45,Capers           
  18-1016 TPX,"rgb(104,90,72)  ",#685A48,Cub              
  18-1404 TPX,"rgb(104,90,96)  ",#685A60,Sparrow          
  18-3905 TPX,"rgb(97,93,101)  ",#615D65,Excalibur        
  18-0615 TPX,"rgb(99,95,77)   ",#635F4D,Stone Gray       
  18-0513 TPX,"rgb(100,93,84)  ",#645D54,Bungee Cord      
  18-0503 TPX,"rgb(102,103,102)",#666766,Gargoyle         
  18-1703 TPX,"rgb(106,99,109) ",#6A636D,Shark            
  18-0622 TPX,"rgb(116,110,70) ",#746E46,Olive Drab       
  18-0312 TPX,"rgb(103,107,87) ",#676B57,Deep Lichen Green
  18-4005 TPX,"rgb(106,108,112)",#6A6C70,Steel Gray       
  18-0332 TPX,"rgb(112,124,67) ",#707C43,Grasshopper      
  17-6323 TPX,"rgb(110,134,111)",#6E866F,Hedge Green      
  17-5110 TPX,"rgb(102,132,132)",#668484,Trellis          
  17-0235 TPX,"rgb(112,147,80) ",#709350,Piquant Green    
  17-0119 TPX,"rgb(108,142,104)",#6C8E68,Turf Green       
  17-0220 TPX,"rgb(112,140,102)",#708C66,Watercress       
  17-6319 TPX,"rgb(105,140,105)",#698C69,Kashmir          
  16-4712 TPX,"rgb(107,145,145)",#6B9191,Mineral Blue     
  16-6324 TPX,"rgb(112,160,114)",#70A072,Jadesheen        
  18-3013 TPX,"rgb(114,75,102) ",#724B66,Berry Conserve   
  19-3526 TPX,"rgb(115,77,133) ",#734D85,Meadow Violet    
  18-1031 TPX,"rgb(113,81,56)  ",#715138,Toffee           
  18-1124 TPX,"rgb(111,82,65)  ",#6F5241,Partridge        
  18-1415 TPX,"rgb(111,80,79)  ",#6F504F,Marron           
  18-1405 TPX,"rgb(110,88,98)  ",#6E5862,Flint            
  18-3520 TPX,"rgb(117,86,140) ",#75568C,Purple Heart     
  19-1034 TPX,"rgb(117,92,59)  ",#755C3B,Breen            
  18-0825 TPX,"rgb(113,100,65) ",#716441,Nutria           
  18-0920 TPX,"rgb(113,96,71)  ",#716047,Kangaroo         
  18-1015 TPX,"rgb(113,97,81)  ",#716151,Shitake          
  18-0601 TPX,"rgb(106,106,106)",#6A6A6A,Charcoal Gray    
  17-3920 TPX,"rgb(110,128,164)",#6E80A4,English Manor    
  17-3924 TPX,"rgb(116,124,168)",#747CA8,Lavender Violet  
  17-3915 TPX,"rgb(115,128,155)",#73809B,Tempest          
  15-3930 TPX,"rgb(124,158,217)",#7C9ED9,Vista Blue       
  16-3929 TPX,"rgb(130,151,206)",#8297CE,Grapemist        
  17-0336 TPX,"rgb(123,147,68) ",#7B9344,Peridot          
  16-0228 TPX,"rgb(116,152,98) ",#749862,Jade Green       
  15-6428 TPX,"rgb(128,168,103)",#80A867,Green Tea        
  13-5412 TPX,"rgb(152,226,207)",#98E2CF,Beach Glass      
  18-2027 TPX,"rgb(129,47,79)  ",#812F4F,Beaujolais       
  19-1430 TPX,"rgb(114,76,68)  ",#724C44,Mink             
  18-1716 TPX,"rgb(127,77,100) ",#7F4D64,Damson           
  18-1130 TPX,"rgb(118,84,70)  ",#765446,Aztec            
  18-1306 TPX,"rgb(110,96,93)  ",#6E605D,Iron             
  18-1312 TPX,"rgb(113,92,86)  ",#715C56,Deep Taupe       
  18-0937 TPX,"rgb(129,95,52)  ",#815F34,Bronze Brown     
  17-0935 TPX,"rgb(132,109,61) ",#846D3D,Dull Gold        
  18-3710 TPX,"rgb(123,114,130)",#7B7282,Gray Ridge       
  18-3718 TPX,"rgb(125,112,152)",#7D7098,Purple Haze      
  17-0620 TPX,"rgb(127,119,93) ",#7F775D,Aloe             
  17-0618 TPX,"rgb(127,122,100)",#7F7A64,Mermaid          
  17-0330 TPX,"rgb(126,135,75) ",#7E874B,Turtle Green     
  17-0613 TPX,"rgb(125,125,109)",#7D7D6D,Vetiver          
  17-4405 TPX,"rgb(122,131,135)",#7A8387,Monument         
  15-3932 TPX,"rgb(134,159,202)",#869FCA,Bel Air Blue     
